ID_PROVINCIA;PROVINCIA;2009_URG_NO;2009_URG_SI;2010_URG_NO;2010_URG_SI;2011_URG_NO;2011_URG_SI;2012_URG_NO;2012_URG_SI;2013_URG_NO;2013_URG_SI;2014_URG_NO;2014_URG_SI;VAR_NO_09_10;VAR_NO_10_11;VAR_NO_11_12;VAR_NO_12_13;VAR_NO_13_14;VAR_SI_09_10;VAR_SI_10_11;VAR_SI_11_12;VAR_SI_12_13;VAR_SI_13_14
01;ÁLAVA;55;2;55;2;52;5;52;5;52;5;46;12;0,00%;-5,45%;0,00%;0,00%;-11,54%;0,00%;150,00%;0,00%;0,00%;140,00%
02;ALBACETE;158;27;158;27;155;27;155;27;155;27;156;27;0,00%;-1,90%;0,00%;0,00%;0,65%;0,00%;0,00%;0,00%;0,00%;0,00%
03;ALICANTE;210;52;210;52;215;52;215;52;223;55;217;55;0,00%;2,38%;0,00%;3,72%;-2,69%;0,00%;0,00%;0,00%;5,77%;0,00%
04;ALMERÍA;191;35;191;35;192;36;195;33;196;37;193;36;0,00%;0,52%;1,56%;0,51%;-1,53%;0,00%;2,86%;-8,33%;12,12%;-2,70%
05;ÁVILA;322;20;320;20;320;20;320;20;320;20;330;20;-0,62%;0,00%;0,00%;0,00%;3,13%;0,00%;0,00%;0,00%;0,00%;0,00%
06;BADAJOZ;164;61;159;67;159;67;159;67;162;67;162;67;-3,05%;0,00%;0,00%;1,89%;0,00%;9,84%;0,00%;0,00%;0,00%;0,00%
07;ILLES BALEARS;125;34;125;35;126;34;126;34;126;34;128;34;0,00%;0,80%;0,00%;0,00%;1,59%;2,94%;-2,86%;0,00%;0,00%;0,00%
08;BARCELONA;374;101;373;101;387;105;344;151;350;150;347;149;-0,27%;3,75%;-11,11%;1,74%;-0,86%;0,00%;3,96%;43,81%;-0,66%;-0,67%
09;BURGOS;654;32;652;31;653;31;653;31;653;31;606;30;-0,31%;0,15%;0,00%;0,00%;-7,20%;-3,13%;0,00%;0,00%;0,00%;-3,23%
10;CÁCERES;234;61;237;61;235;61;235;61;244;61;238;61;1,28%;-0,84%;0,00%;3,83%;-2,46%;0,00%;0,00%;0,00%;0,00%;0,00%
11;CÁDIZ;78;45;80;45;81;44;79;45;82;49;84;46;2,56%;1,25%;-2,47%;3,80%;2,44%;0,00%;-2,22%;2,27%;8,89%;-6,12%
12;CASTELLÓN;142;36;142;36;143;36;143;36;159;38;158;37;0,00%;0,70%;0,00%;11,19%;-0,63%;0,00%;0,00%;0,00%;5,56%;-2,63%
13;CIUDAD REAL;114;39;114;39;117;39;117;39;116;40;106;40;0,00%;2,63%;0,00%;-0,85%;-8,62%;0,00%;0,00%;0,00%;2,56%;0,00%
14;CÓRDOBA;104;37;104;37;104;37;97;44;100;44;101;42;0,00%;0,00%;-6,73%;3,09%;1,00%;0,00%;0,00%;18,92%;0,00%;-4,55%
15;A CORUÑA;141;32;138;34;133;34;133;34;134;33;131;32;-2,13%;-3,62%;0,00%;0,75%;-2,24%;6,25%;0,00%;0,00%;-2,94%;-3,03%
16;CUENCA;270;38;270;38;271;38;271;38;271;38;272;38;0,00%;0,37%;0,00%;0,00%;0,37%;0,00%;0,00%;0,00%;0,00%;0,00%
17;GIRONA;203;36;202;36;208;38;222;24;222;24;222;24;-0,49%;2,97%;6,73%;0,00%;0,00%;0,00%;5,56%;-36,84%;0,00%;0,00%
18;GRANADA;290;39;290;39;290;39;288;41;290;44;287;43;0,00%;0,00%;-0,69%;0,69%;-1,03%;0,00%;0,00%;5,13%;7,32%;-2,27%
19;GUADALAJARA;424;27;424;27;424;27;424;27;422;29;418;28;0,00%;0,00%;0,00%;-0,47%;-0,95%;0,00%;0,00%;0,00%;7,41%;-3,45%
20;GUIPÚZCOA;92;9;87;11;84;14;84;14;84;14;85;13;-5,43%;-3,45%;0,00%;0,00%;1,19%;22,22%;27,27%;0,00%;0,00%;-7,14%
21;HUELVA;86;38;86;38;86;38;85;39;84;42;84;41;0,00%;0,00%;-1,16%;-1,18%;0,00%;0,00%;0,00%;2,63%;7,69%;-2,38%
22;HUESCA;352;29;313;29;318;28;314;27;314;27;314;27;-11,08%;1,60%;-1,26%;0,00%;0,00%;0,00%;-3,45%;-3,57%;0,00%;0,00%
23;JAÉN;148;48;149;48;149;48;145;51;146;51;146;51;0,68%;0,00%;-2,68%;0,69%;0,00%;0,00%;0,00%;6,25%;0,00%;0,00%
24;LEÓN;735;33;735;33;733;34;733;34;733;34;736;33;0,00%;-0,27%;0,00%;0,00%;0,41%;0,00%;3,03%;0,00%;0,00%;-2,94%
25;LLEIDA;277;25;277;25;277;25;280;22;280;22;280;22;0,00%;0,00%;1,08%;0,00%;0,00%;0,00%;0,00%;-12,00%;0,00%;0,00%
26;LA RIOJA;169;24;169;24;171;22;171;22;173;22;172;22;0,00%;1,18%;0,00%;1,17%;-0,58%;0,00%;-8,33%;0,00%;0,00%;0,00%
27;LUGO;66;20;66;20;66;20;66;20;67;19;66;19;0,00%;0,00%;0,00%;1,52%;-1,49%;0,00%;0,00%;0,00%;-5,00%;0,00%
28;MADRID;335;74;338;74;335;78;335;78;347;71;347;70;0,90%;-0,89%;0,00%;3,58%;0,00%;0,00%;5,41%;0,00%;-8,97%;-1,41%
29;MÁLAGA;131;46;131;45;133;44;132;45;132;49;136;43;0,00%;1,53%;-0,75%;0,00%;3,03%;-2,17%;-2,22%;2,27%;8,89%;-12,24%
