ID_PROVINCIA;PROVINCIAS;2005_PRIVADO;2006_PRIVADO;2007_PRIVADO;2008_PRIVADO;2009_PRIVADO;2010_PRIVADO;2011_PRIVADO;2012_PRIVADO;2013_PRIVADO;2014_PRIVADO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;247;247;224;224;207;209;186;209;192;192;299957;301926;305459;309635;313819;317352;319227;322557;321417;321932;0,82;0,82;0,73;0,72;0,66;0,66;0,58;0,65;0,60;0,60;-0,65%;-10,36%;-1,35%;-8,82%;-0,16%;-11,53%;11,21%;-7,81%;-0,16%
02;ALBACETE;128;180;180;157;157;157;157;107;107;107;384640;387658;392110;397493;400891;401682;402318;402837;400007;396987;0,33;0,46;0,46;0,39;0,39;0,39;0,39;0,27;0,27;0,27;39,53%;-1,14%;-13,96%;-0,85%;-0,20%;-0,16%;-31,93%;0,71%;0,76%
03;ALICANTE;942;1211;1205;1205;1227;1267;1060;1027;947;933;1732389;1783555;1825264;1891477;1917012;1926285;1934127;1943910;1945642;1868438;0,54;0,68;0,66;0,64;0,64;0,66;0,55;0,53;0,49;0,50;24,87%;-2,77%;-3,50%;0,47%;2,76%;-16,68%;-3,60%;-7,87%;2,59%
04;ALMERÍA;172;187;196;176;176;162;165;165;165;165;612315;635850;646633;667635;684426;695560;702819;704219;699329;701688;0,28;0,29;0,30;0,26;0,26;0,23;0,23;0,23;0,24;0,24;4,70%;3,07%;-13,03%;-2,45%;-9,43%;0,80%;-0,20%;0,70%;-0,34%
05;ÁVILA;158;158;33;33;33;33;33;33;33;33;167032;167818;168638;171815;171680;171896;172704;171265;168825;167015;0,95;0,94;0,20;0,19;0,19;0,19;0,19;0,19;0,20;0,20;-0,47%;-79,22%;-1,85%;0,08%;-0,13%;-0,47%;0,84%;1,45%;1,08%
06;BADAJOZ;335;335;335;326;337;313;293;393;413;339;671299;673474;678459;685246;688777;692137;693921;694533;693729;690929;0,50;0,50;0,49;0,48;0,49;0,45;0,42;0,57;0,60;0,49;-0,32%;-0,73%;-3,65%;2,84%;-7,57%;-6,63%;34,01%;5,21%;-17,59%
07;ILLES BALEARS;1321;1298;1301;1258;1221;1220;1130;1131;1331;1328;983131;1001062;1030650;1072844;1095426;1106049;1113114;1119439;1111674;1103442;1,34;1,30;1,26;1,17;1,11;1,10;1,02;1,01;1,20;1,20;-3,50%;-2,65%;-7,11%;-4,94%;-1,04%;-7,96%;-0,48%;18,51%;0,52%
08;BARCELONA;15566;15340;15199;15174;15534;15528;15806;15540;15400;15362;5226354;5309404;5332513;5416447;5487935;5511147;5529099;5552050;5540925;5523784;2,98;2,89;2,85;2,80;2,83;2,82;2,86;2,80;2,78;2,78;-2,99%;-1,35%;-1,71%;1,04%;-0,46%;1,46%;-2,09%;-0,70%;0,06%
09;BURGOS;453;453;451;475;478;480;467;470;470;470;361021;363874;365972;373672;375563;374826;375657;374970;371248;366900;1,25;1,24;1,23;1,27;1,27;1,28;1,24;1,25;1,27;1,28;-0,78%;-1,01%;3,15%;0,12%;0,62%;-2,92%;0,83%;1,00%;1,19%
10;CÁCERES;89;89;89;86;83;85;83;90;87;91;412580;412899;411531;412498;413633;415083;415446;413597;410275;408703;0,22;0,22;0,22;0,21;0,20;0,20;0,20;0,22;0,21;0,22;-0,08%;0,33%;-3,60%;-3,75%;2,05%;-2,44%;8,92%;-2,55%;5,00%
11;CÁDIZ;1524;1546;1427;1431;1360;1219;1179;1176;1210;1211;1180817;1194062;1207343;1220467;1230594;1236739;1243519;1245164;1238492;1240175;1,29;1,29;1,18;1,17;1,11;0,99;0,95;0,94;0,98;0,98;0,32%;-8,71%;-0,80%;-5,74%;-10,81%;-3,81%;-0,39%;3,45%;-0,05%
12;CASTELLÓN;139;128;124;124;124;124;124;145;145;148;543432;559761;573282;594915;602301;604274;604344;604564;601699;587508;0,26;0,23;0,22;0,21;0,21;0,21;0,21;0,24;0,24;0,25;-10,60%;-5,41%;-3,64%;-1,23%;-0,33%;-0,01%;16,89%;0,48%;4,53%
13;CIUDAD REAL;95;95;95;95;95;95;5;48;55;55;500060;506864;510122;522343;527273;529453;530175;530250;524962;519613;0,19;0,19;0,19;0,18;0,18;0,18;0,01;0,09;0,10;0,11;-1,34%;-0,64%;-2,34%;-0,93%;-0,41%;-94,74%;859,86%;15,74%;1,03%
14;CÓRDOBA;301;291;378;378;285;285;282;282;282;311;784376;788287;792182;798822;803998;805108;805857;804498;802422;799402;0,38;0,37;0,48;0,47;0,35;0,35;0,35;0,35;0,35;0,39;-3,80%;29,26%;-0,83%;-25,09%;-0,14%;-1,14%;0,17%;0,26%;10,70%
15;A CORUÑA;937;937;999;931;956;935;941;877;852;808;1126707;1129141;1132792;1139121;1145488;1146458;1147124;1143911;1138161;1132735;0,83;0,83;0,88;0,82;0,83;0,82;0,82;0,77;0,75;0,71;-0,22%;6,27%;-7,32%;2,11%;-2,28%;0,58%;-6,54%;-2,36%;-4,71%
16;CUENCA;60;60;60;60;60;60;60;60;60;60;207974;208616;211375;215274;217363;217716;219138;218036;211899;207449;0,29;0,29;0,28;0,28;0,28;0,28;0,27;0,28;0,28;0,29;-0,31%;-1,31%;-1,81%;-0,96%;-0,16%;-0,65%;0,51%;2,90%;2,15%
