ID_PROVINCIA;PROVINCIAS;2005_PUBLICO;2006_PUBLICO;2007_PUBLICO;2008_PUBLICO;2009_PUBLICO;2010_PUBLICO;2011_PUBLICO;2012_PUBLICO;2013_PUBLICO;2014_PUBLICO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;1140;1141;1108;1039;1025;1058;1081;1085;1100;1100;299957;301926;305459;309635;313819;317352;319227;322557;321417;321932;3,80;3,78;3,63;3,36;3,27;3,33;3,39;3,36;3,42;3,42;-0,56%;-4,02%;-7,49%;-2,66%;2,07%;1,57%;-0,67%;1,74%;-0,16%
02;ALBACETE;901;967;1126;1081;1094;1079;1074;1075;1080;1080;384640;387658;392110;397493;400891;401682;402318;402837;400007;396987;2,34;2,49;2,87;2,72;2,73;2,69;2,67;2,67;2,70;2,72;6,49%;15,12%;-5,30%;0,34%;-1,57%;-0,62%;-0,04%;1,18%;0,76%
03;ALICANTE;3677;3703;3703;3718;4111;4409;4653;4659;4516;4422;1732389;1783555;1825264;1891477;1917012;1926285;1934127;1943910;1945642;1868438;2,12;2,08;2,03;1,97;2,14;2,29;2,41;2,40;2,32;2,37;-2,18%;-2,29%;-3,11%;9,10%;6,73%;5,11%;-0,37%;-3,16%;1,96%
04;ALMERÍA;1129;1212;1322;1322;1326;1326;1406;1336;1264;1264;612315;635850;646633;667635;684426;695560;702819;704219;699329;701688;1,84;1,91;2,04;1,98;1,94;1,91;2,00;1,90;1,81;1,80;3,38%;7,26%;-3,15%;-2,16%;-1,60%;4,94%;-5,17%;-4,73%;-0,34%
05;ÁVILA;462;418;418;418;418;430;430;430;430;430;167032;167818;168638;171815;171680;171896;172704;171265;168825;167015;2,77;2,49;2,48;2,43;2,43;2,50;2,49;2,51;2,55;2,57;-9,95%;-0,49%;-1,85%;0,08%;2,74%;-0,47%;0,84%;1,45%;1,08%
06;BADAJOZ;2264;2264;2419;2453;2447;2419;2451;2488;2368;2393;671299;673474;678459;685246;688777;692137;693921;694533;693729;690929;3,37;3,36;3,57;3,58;3,55;3,49;3,53;3,58;3,41;3,46;-0,32%;6,06%;0,40%;-0,76%;-1,62%;1,06%;1,42%;-4,71%;1,47%
07;ILLES BALEARS;2256;2227;2416;2412;2415;2489;3338;2544;2547;2541;983131;1001062;1030650;1072844;1095426;1106049;1113114;1119439;1111674;1103442;2,29;2,22;2,34;2,25;2,20;2,25;3,00;2,27;2,29;2,30;-3,05%;5,37%;-4,09%;-1,94%;2,07%;33,26%;-24,22%;0,82%;0,51%
08;BARCELONA;9220;9631;9567;9953;10105;10432;10628;10620;10677;10883;5226354;5309404;5332513;5416447;5487935;5511147;5529099;5552050;5540925;5523784;1,76;1,81;1,79;1,84;1,84;1,89;1,92;1,91;1,93;1,97;2,82%;-1,10%;2,42%;0,20%;2,80%;1,55%;-0,49%;0,74%;2,25%
09;BURGOS;1054;1050;1030;1023;1021;1019;1019;975;979;979;361021;363874;365972;373672;375563;374826;375657;374970;371248;366900;2,92;2,89;2,81;2,74;2,72;2,72;2,71;2,60;2,64;2,67;-1,16%;-2,47%;-2,73%;-0,70%;0,00%;-0,22%;-4,14%;1,42%;1,19%
10;CÁCERES;1539;1539;1519;1329;1329;1307;1286;1305;1305;1305;412580;412899;411531;412498;413633;415083;415446;413597;410275;408703;3,73;3,73;3,69;3,22;3,21;3,15;3,10;3,16;3,18;3,19;-0,08%;-0,97%;-12,71%;-0,27%;-2,00%;-1,69%;1,93%;0,81%;0,38%
11;CÁDIZ;2867;2442;2437;2436;2408;2408;2437;2447;2157;2050;1180817;1194062;1207343;1220467;1230594;1236739;1243519;1245164;1238492;1240175;2,43;2,05;2,02;2,00;1,96;1,95;1,96;1,97;1,74;1,65;-15,77%;-1,30%;-1,12%;-1,96%;-0,50%;0,65%;0,28%;-11,38%;-5,09%
12;CASTELLÓN;1292;1282;1285;1347;1419;1426;1443;1444;1444;1438;543432;559761;573282;594915;602301;604274;604344;604564;601699;587508;2,38;2,29;2,24;2,26;2,36;2,36;2,39;2,39;2,40;2,45;-3,67%;-2,13%;1,01%;4,05%;0,17%;1,18%;0,03%;0,48%;1,99%
13;CIUDAD REAL;1550;1619;1414;1422;1500;1535;1535;1535;1513;1513;500060;506864;510122;522343;527273;529453;530175;530250;524962;519613;3,10;3,19;2,77;2,72;2,84;2,90;2,90;2,89;2,88;2,91;3,05%;-13,22%;-1,79%;4,50%;1,91%;-0,14%;-0,01%;-0,44%;1,03%
14;CÓRDOBA;1839;1760;1773;1757;1781;1781;1779;1777;1692;1692;784376;788287;792182;798822;803998;805108;805857;804498;802422;799402;2,34;2,23;2,24;2,20;2,22;2,21;2,21;2,21;2,11;2,12;-4,77%;0,24%;-1,73%;0,71%;-0,14%;-0,21%;0,06%;-4,54%;0,38%
15;A CORUÑA;3683;3684;3720;3702;3676;3630;3569;3397;3379;3288;1126707;1129141;1132792;1139121;1145488;1146458;1147124;1143911;1138161;1132735;3,27;3,26;3,28;3,25;3,21;3,17;3,11;2,97;2,97;2,90;-0,19%;0,65%;-1,04%;-1,25%;-1,33%;-1,74%;-4,55%;-0,03%;-2,23%
16;CUENCA;411;411;411;411;411;411;411;436;436;436;207974;208616;211375;215274;217363;217716;219138;218036;211899;207449;1,98;1,97;1,94;1,91;1,89;1,89;1,88;2,00;2,06;2,10;-0,31%;-1,31%;-1,81%;-0,96%;-0,16%;-0,65%;6,62%;2,90%;2,15%
17;GIRONA;1596;1596;1596;1596;1442;1595;1731;1731;1722;1782;664506;687331;706185;731864;747782;753046;756810;761627;761632;756156;2,40;2,32;2,26;2,18;1,93;2,12;2,29;2,27;2,26;2,36;-3,32%;-2,67%;-3,51%;-11,57%;9,84%;7,99%;-0,63%;-0,52%;4,23%
18;GRANADA;2137;2060;2043;2043;2029;2029;2069;2069;1880;1880;860898;876184;884099;901220;907428;918072;924550;922928;919319;919455;2,48;2,35;2,31;2,27;2,24;2,21;2,24;2,24;2,04;2,04;-5,28%;-1,71%;-1,90%;-1,36%;-1,16%;1,26%;0,18%;-8,78%;-0,01%
19;GUADALAJARA;755;755;725;729;726;873;744;744;744;744;203737;213505;224076;237787;246151;251563;256461;259537;257723;255426;3,71;3,54;3,24;3,07;2,95;3,47;2,90;2,87;2,89;2,91;-4,58%;-8,50%;-5,25%;-3,80%;17,66%;-16,40%;-1,19%;0,70%;0,90%
