ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;1387;1388;1332;1263;1232;1267;1267;1294;1292;1292;299957;301926;305459;309635;313819;317352;319227;322557;321417;321932;4,62;4,60;4,36;4,08;3,93;3,99;3,97;4,01;4,02;4,01;-0,58%;-5,14%;-6,46%;-3,76%;1,70%;-0,59%;1,08%;0,20%;-0,16%
02;ALBACETE;1029;1147;1306;1238;1251;1236;1231;1182;1187;1187;384640;387658;392110;397493;400891;401682;402318;402837;400007;396987;2,68;2,96;3,33;3,11;3,12;3,08;3,06;2,93;2,97;2,99;10,60%;12,57%;-6,49%;0,19%;-1,39%;-0,56%;-4,10%;1,13%;0,76%
03;ALICANTE;4619;4914;4908;4923;5338;5676;5713;5686;5463;5355;1732389;1783555;1825264;1891477;1917012;1926285;1934127;1943910;1945642;1868438;2,67;2,76;2,69;2,60;2,78;2,95;2,95;2,93;2,81;2,87;3,33%;-2,40%;-3,21%;6,99%;5,82%;0,24%;-0,97%;-4,01%;2,07%
04;ALMERÍA;1301;1399;1518;1498;1502;1488;1571;1501;1429;1429;612315;635850;646633;667635;684426;695560;702819;704219;699329;701688;2,12;2,20;2,35;2,24;2,19;2,14;2,24;2,13;2,04;2,04;3,55%;6,70%;-4,42%;-2,19%;-2,52%;4,49%;-4,65%;-4,13%;-0,34%
05;ÁVILA;620;576;451;451;451;463;463;463;463;463;167032;167818;168638;171815;171680;171896;172704;171265;168825;167015;3,71;3,43;2,67;2,62;2,63;2,69;2,68;2,70;2,74;2,77;-7,53%;-22,08%;-1,85%;0,08%;2,53%;-0,47%;0,84%;1,45%;1,08%
06;BADAJOZ;2599;2599;2754;2779;2784;2732;2744;2881;2781;2732;671299;673474;678459;685246;688777;692137;693921;694533;693729;690929;3,87;3,86;4,06;4,06;4,04;3,95;3,95;4,15;4,01;3,95;-0,32%;5,19%;-0,09%;-0,33%;-2,34%;0,18%;4,90%;-3,36%;-1,36%
07;ILLES BALEARS;3577;3525;3717;3670;3636;3709;4468;3675;3878;3869;983131;1001062;1030650;1072844;1095426;1106049;1113114;1119439;1111674;1103442;3,64;3,52;3,61;3,42;3,32;3,35;4,01;3,28;3,49;3,51;-3,22%;2,42%;-5,15%;-2,97%;1,03%;19,70%;-18,21%;6,26%;0,51%
08;BARCELONA;24786;24971;24766;25127;25639;25960;26434;26160;26077;26245;5226354;5309404;5332513;5416447;5487935;5511147;5529099;5552050;5540925;5523784;4,74;4,70;4,64;4,64;4,67;4,71;4,78;4,71;4,71;4,75;-0,83%;-1,25%;-0,11%;0,71%;0,83%;1,50%;-1,45%;-0,12%;0,96%
09;BURGOS;1507;1503;1481;1498;1499;1499;1486;1445;1449;1449;361021;363874;365972;373672;375563;374826;375657;374970;371248;366900;4,17;4,13;4,05;4,01;3,99;4,00;3,96;3,85;3,90;3,95;-1,05%;-2,03%;-0,94%;-0,44%;0,20%;-1,09%;-2,58%;1,28%;1,19%
10;CÁCERES;1628;1628;1608;1415;1412;1392;1369;1395;1392;1396;412580;412899;411531;412498;413633;415083;415446;413597;410275;408703;3,95;3,94;3,91;3,43;3,41;3,35;3,30;3,37;3,39;3,42;-0,08%;-0,90%;-12,21%;-0,49%;-1,76%;-1,74%;2,35%;0,59%;0,67%
11;CÁDIZ;4391;3988;3864;3867;3768;3627;3616;3623;3367;3261;1180817;1194062;1207343;1220467;1230594;1236739;1243519;1245164;1238492;1240175;3,72;3,34;3,20;3,17;3,06;2,93;2,91;2,91;2,72;2,63;-10,19%;-4,18%;-1,00%;-3,36%;-4,22%;-0,85%;0,06%;-6,57%;-3,28%
12;CASTELLÓN;1431;1410;1409;1471;1543;1550;1567;1589;1589;1586;543432;559761;573282;594915;602301;604274;604344;604564;601699;587508;2,63;2,52;2,46;2,47;2,56;2,57;2,59;2,63;2,64;2,70;-4,34%;-2,43%;0,60%;3,61%;0,13%;1,09%;1,37%;0,48%;2,22%
13;CIUDAD REAL;1645;1714;1509;1517;1595;1630;1540;1583;1568;1568;500060;506864;510122;522343;527273;529453;530175;530250;524962;519613;3,29;3,38;2,96;2,90;3,02;3,08;2,90;2,99;2,99;3,02;2,80%;-12,52%;-1,82%;4,16%;1,77%;-5,65%;2,78%;0,05%;1,03%
14;CÓRDOBA;2140;2051;2151;2135;2066;2066;2061;2059;1974;2003;784376;788287;792182;798822;803998;805108;805857;804498;802422;799402;2,73;2,60;2,72;2,67;2,57;2,57;2,56;2,56;2,46;2,51;-4,63%;4,36%;-1,57%;-3,85%;-0,14%;-0,33%;0,07%;-3,88%;1,85%
15;A CORUÑA;4620;4621;4719;4633;4632;4565;4510;4274;4231;4096;1126707;1129141;1132792;1139121;1145488;1146458;1147124;1143911;1138161;1132735;4,10;4,09;4,17;4,07;4,04;3,98;3,93;3,74;3,72;3,62;-0,19%;1,79%;-2,37%;-0,58%;-1,53%;-1,26%;-4,97%;-0,51%;-2,73%
16;CUENCA;471;471;471;471;471;471;471;496;496;496;207974;208616;211375;215274;217363;217716;219138;218036;211899;207449;2,26;2,26;2,23;2,19;2,17;2,16;2,15;2,27;2,34;2,39;-0,31%;-1,31%;-1,81%;-0,96%;-0,16%;-0,65%;5,84%;2,90%;2,15%
