ID_PROVINCIA;PROVINCIAS;2005_PRIVADO;2006_PRIVADO;2007_PRIVADO;2008_PRIVADO;2009_PRIVADO;2010_PRIVADO;2011_PRIVADO;2012_PRIVADO;2013_PRIVADO;2014_PRIVADO;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;247;247;224;224;207;209;186;209;192;192;0,00%;-9,31%;0,00%;-7,59%;0,97%;-11,00%;12,37%;-8,13%;0,00%
02;ALBACETE;128;180;180;157;157;157;157;107;107;107;40,63%;0,00%;-12,78%;0,00%;0,00%;0,00%;-31,85%;0,00%;0,00%
03;ALICANTE;942;1211;1205;1205;1227;1267;1060;1027;947;933;28,56%;-0,50%;0,00%;1,83%;3,26%;-16,34%;-3,11%;-7,79%;-1,48%
04;ALMERÍA;172;187;196;176;176;162;165;165;165;165;8,72%;4,81%;-10,20%;0,00%;-7,95%;1,85%;0,00%;0,00%;0,00%
05;ÁVILA;158;158;33;33;33;33;33;33;33;33;0,00%;-79,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
06;BADAJOZ;335;335;335;326;337;313;293;393;413;339;0,00%;0,00%;-2,69%;3,37%;-7,12%;-6,39%;34,13%;5,09%;-17,92%
07;ILLES BALEARS;1321;1298;1301;1258;1221;1220;1130;1131;1331;1328;-1,74%;0,23%;-3,31%;-2,94%;-0,08%;-7,38%;0,09%;17,68%;-0,23%
08;BARCELONA;15566;15340;15199;15174;15534;15528;15806;15540;15400;15362;-1,45%;-0,92%;-0,16%;2,37%;-0,04%;1,79%;-1,68%;-0,90%;-0,25%
09;BURGOS;453;453;451;475;478;480;467;470;470;470;0,00%;-0,44%;5,32%;0,63%;0,42%;-2,71%;0,64%;0,00%;0,00%
10;CÁCERES;89;89;89;86;83;85;83;90;87;91;0,00%;0,00%;-3,37%;-3,49%;2,41%;-2,35%;8,43%;-3,33%;4,60%
11;CÁDIZ;1524;1546;1427;1431;1360;1219;1179;1176;1210;1211;1,44%;-7,70%;0,28%;-4,96%;-10,37%;-3,28%;-0,25%;2,89%;0,08%
12;CASTELLÓN;139;128;124;124;124;124;124;145;145;148;-7,91%;-3,13%;0,00%;0,00%;0,00%;0,00%;16,94%;0,00%;2,07%
13;CIUDAD REAL;95;95;95;95;95;95;5;48;55;55;0,00%;0,00%;0,00%;0,00%;0,00%;-94,74%;860,00%;14,58%;0,00%
14;CÓRDOBA;301;291;378;378;285;285;282;282;282;311;-3,32%;29,90%;0,00%;-24,60%;0,00%;-1,05%;0,00%;0,00%;10,28%
15;A CORUÑA;937;937;999;931;956;935;941;877;852;808;0,00%;6,62%;-6,81%;2,69%;-2,20%;0,64%;-6,80%;-2,85%;-5,16%
16;CUENCA;60;60;60;60;60;60;60;60;60;60;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
17;GIRONA;1212;1212;1212;1212;1352;1185;1180;1180;1168;1168;0,00%;0,00%;0,00%;11,55%;-12,35%;-0,42%;0,00%;-1,02%;0,00%
18;GRANADA;356;353;357;357;357;345;346;346;336;338;-0,84%;1,13%;0,00%;0,00%;-3,36%;0,29%;0,00%;-2,89%;0,60%
19;GUADALAJARA;112;112;112;112;112;112;108;108;107;107;0,00%;0,00%;0,00%;0,00%;0,00%;-3,57%;0,00%;-0,93%;0,00%
20;GUIPÚZCOA;1613;1603;1584;1570;1569;1563;1542;1529;1522;1510;-0,62%;-1,19%;-0,88%;-0,06%;-0,38%;-1,34%;-0,84%;-0,46%;-0,79%
21;HUELVA;237;230;230;237;239;234;234;234;250;260;-2,95%;0,00%;3,04%;0,84%;-2,09%;0,00%;0,00%;6,84%;4,00%
22;HUESCA;40;40;40;40;40;40;40;40;40;40;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
23;JAÉN;48;25;25;42;45;45;45;45;45;39;-47,92%;0,00%;68,00%;7,14%;0,00%;0,00%;0,00%;0,00%;-13,33%
24;LEÓN;811;792;786;762;774;707;803;803;741;749;-2,34%;-0,76%;-3,05%;1,57%;-8,66%;13,58%;0,00%;-7,72%;1,08%
25;LLEIDA;854;854;854;854;854;854;854;831;831;856;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-2,69%;0,00%;3,01%
