ID_PROVINCIA;PROVINCIAS;2005_PUBLICO;2006_PUBLICO;2007_PUBLICO;2008_PUBLICO;2009_PUBLICO;2010_PUBLICO;2011_PUBLICO;2012_PUBLICO;2013_PUBLICO;2014_PUBLICO;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;1140;1141;1108;1039;1025;1058;1081;1085;1100;1100;0,09%;-2,89%;-6,23%;-1,35%;3,22%;2,17%;0,37%;1,38%;0,00%
02;ALBACETE;901;967;1126;1081;1094;1079;1074;1075;1080;1080;7,33%;16,44%;-4,00%;1,20%;-1,37%;-0,46%;0,09%;0,47%;0,00%
03;ALICANTE;3677;3703;3703;3718;4111;4409;4653;4659;4516;4422;0,71%;0,00%;0,41%;10,57%;7,25%;5,53%;0,13%;-3,07%;-2,08%
04;ALMERÍA;1129;1212;1322;1322;1326;1326;1406;1336;1264;1264;7,35%;9,08%;0,00%;0,30%;0,00%;6,03%;-4,98%;-5,39%;0,00%
05;ÁVILA;462;418;418;418;418;430;430;430;430;430;-9,52%;0,00%;0,00%;0,00%;2,87%;0,00%;0,00%;0,00%;0,00%
06;BADAJOZ;2264;2264;2419;2453;2447;2419;2451;2488;2368;2393;0,00%;6,85%;1,41%;-0,24%;-1,14%;1,32%;1,51%;-4,82%;1,06%
07;ILLES BALEARS;2256;2227;2416;2412;2415;2489;3338;2544;2547;2541;-1,29%;8,49%;-0,17%;0,12%;3,06%;34,11%;-23,79%;0,12%;-0,24%
08;BARCELONA;9220;9631;9567;9953;10105;10432;10628;10620;10677;10883;4,46%;-0,66%;4,03%;1,53%;3,24%;1,88%;-0,08%;0,54%;1,93%
09;BURGOS;1054;1050;1030;1023;1021;1019;1019;975;979;979;-0,38%;-1,90%;-0,68%;-0,20%;-0,20%;0,00%;-4,32%;0,41%;0,00%
10;CÁCERES;1539;1539;1519;1329;1329;1307;1286;1305;1305;1305;0,00%;-1,30%;-12,51%;0,00%;-1,66%;-1,61%;1,48%;0,00%;0,00%
11;CÁDIZ;2867;2442;2437;2436;2408;2408;2437;2447;2157;2050;-14,82%;-0,20%;-0,04%;-1,15%;0,00%;1,20%;0,41%;-11,85%;-4,96%
12;CASTELLÓN;1292;1282;1285;1347;1419;1426;1443;1444;1444;1438;-0,77%;0,23%;4,82%;5,35%;0,49%;1,19%;0,07%;0,00%;-0,42%
13;CIUDAD REAL;1550;1619;1414;1422;1500;1535;1535;1535;1513;1513;4,45%;-12,66%;0,57%;5,49%;2,33%;0,00%;0,00%;-1,43%;0,00%
14;CÓRDOBA;1839;1760;1773;1757;1781;1781;1779;1777;1692;1692;-4,30%;0,74%;-0,90%;1,37%;0,00%;-0,11%;-0,11%;-4,78%;0,00%
