ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
01;ÁLAVA;1387;1388;1332;1263;1232;1267;1267;1294;1292;1292;0,07%;-4,03%;-5,18%;-2,45%;2,84%;0,00%;2,13%;-0,15%;0,00%
02;ALBACETE;1029;1147;1306;1238;1251;1236;1231;1182;1187;1187;11,47%;13,86%;-5,21%;1,05%;-1,20%;-0,40%;-3,98%;0,42%;0,00%
03;ALICANTE;4619;4914;4908;4923;5338;5676;5713;5686;5463;5355;6,39%;-0,12%;0,31%;8,43%;6,33%;0,65%;-0,47%;-3,92%;-1,98%
04;ALMERÍA;1301;1399;1518;1498;1502;1488;1571;1501;1429;1429;7,53%;8,51%;-1,32%;0,27%;-0,93%;5,58%;-4,46%;-4,80%;0,00%
05;ÁVILA;620;576;451;451;451;463;463;463;463;463;-7,10%;-21,70%;0,00%;0,00%;2,66%;0,00%;0,00%;0,00%;0,00%
06;BADAJOZ;2599;2599;2754;2779;2784;2732;2744;2881;2781;2732;0,00%;5,96%;0,91%;0,18%;-1,87%;0,44%;4,99%;-3,47%;-1,76%
07;ILLES BALEARS;3577;3525;3717;3670;3636;3709;4468;3675;3878;3869;-1,45%;5,45%;-1,26%;-0,93%;2,01%;20,46%;-17,75%;5,52%;-0,23%
08;BARCELONA;24786;24971;24766;25127;25639;25960;26434;26160;26077;26245;0,75%;-0,82%;1,46%;2,04%;1,25%;1,83%;-1,04%;-0,32%;0,64%
09;BURGOS;1507;1503;1481;1498;1499;1499;1486;1445;1449;1449;-0,27%;-1,46%;1,15%;0,07%;0,00%;-0,87%;-2,76%;0,28%;0,00%
10;CÁCERES;1628;1628;1608;1415;1412;1392;1369;1395;1392;1396;0,00%;-1,23%;-12,00%;-0,21%;-1,42%;-1,65%;1,90%;-0,22%;0,29%
11;CÁDIZ;4391;3988;3864;3867;3768;3627;3616;3623;3367;3261;-9,18%;-3,11%;0,08%;-2,56%;-3,74%;-0,30%;0,19%;-7,07%;-3,15%
12;CASTELLÓN;1431;1410;1409;1471;1543;1550;1567;1589;1589;1586;-1,47%;-0,07%;4,40%;4,89%;0,45%;1,10%;1,40%;0,00%;-0,19%
13;CIUDAD REAL;1645;1714;1509;1517;1595;1630;1540;1583;1568;1568;4,19%;-11,96%;0,53%;5,14%;2,19%;-5,52%;2,79%;-0,95%;0,00%
14;CÓRDOBA;2140;2051;2151;2135;2066;2066;2061;2059;1974;2003;-4,16%;4,88%;-0,74%;-3,23%;0,00%;-0,24%;-0,10%;-4,13%;1,47%
15;A CORUÑA;4620;4621;4719;4633;4632;4565;4510;4274;4231;4096;0,02%;2,12%;-1,82%;-0,02%;-1,45%;-1,20%;-5,23%;-1,01%;-3,19%
16;CUENCA;471;471;471;471;471;471;471;496;496;496;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,31%;0,00%;0,00%
