CC.AA;Población;Fuente;Poliomielitis;;DTPa;;Hib;;Meningitis C;
;;;nº dosis;%;nº dosis;%;nº dosis;%;nº dosis;%
Andalucía;81.384;BDU/DIRAYA;78.446;96,4;78.446;96,4;78.446;96,4;78.446 ;96,4 
Aragón;11.692;IAE;11.147;95,3;11.147;95,3;11.147;95,3;11.006 ;94,1 
Asturias;7.606;SIPRES (coh. 2012);7.136;93,8;7.140;93,9;7.128;93,7;7.090 ;93,2 
Baleares;11.399;Padrón;11.018;96,7;11.018;96,7;11.018;96,7;10.661 ;93,5 
Canarias;16.871;Tarjeta Sanitaria;16.239;96,3;16.239;96,3;16.239;96,3;16.179 ;95,9 
Cantabria;4.632;ICANE;4.735;102,2;4.735;102,2;4.735;102,2;4.815 ;104,0 
Castilla y León*;18.685;Registro de vacunas de CyL;16.853;90,2;16.853;90,2;16.853;90,2;17.347 ;95,2 
Castilla La Mancha;17.982;Tarjeta Sanitaria;17.221;95,8;17.221;95,8;17.221;95,8;17.423 ;96,9 
Cataluña**;77.455;IDESCAT;72.544;93,7;72.544;93,7;72.544;93,7;71.862 ;92,8 
C. Valenciana;45.763;Tarjeta Sanitaria;43.415;94,9;42.644;93,2;42.625;93,1;43.442 ;94,9 
Extremadura;8.934;CIVITAS;8.131;91;8.131;91;8.131;91;6.278 ;70,3 
Galicia***;21.137;IGE (nacimientos);19.563;92,6;19.563;92,6;19.563;92,6;20.340 ;96,2 
Madrid;65.341;Metabolopatias 2013;62.024;94,9;62.024;94,9;62.024;94,9;64.231 ;98,3 
Murcia;16.682;CRE;15.676;94;15.676;94;15.676;94;16.492 ;98,9 
Navarra;6.144;Tarjeta Sanitaria;5.772;93,9;5.772;93,9;5.772;93,9;5.710 ;92,9 
P. Vasco;19.570;Metabolopatias;18.928;96,7;18.928;96,7;18.928;96,7;18.928 ;96,7 
La Rioja****;3.016;Registro de vacunas;2.937;97,4;2.937;97,4;2.937;97,4;2.867 ;98,3 
Ceuta;1.190;Padrón / INE;1.176;98,8;1.176;98,8;1.176;98,8;1.556 ;130,8 
Melilla;1.423;PMH;1.312;92,2;1.312;92,2;1.312;92,2;1.367 ;96,1 
TOTAL;436.906;;414.273;94,8;413.506;94,6;413.475;94,6;416.040;95,2
